Commodity Name,Qty,UOM
BANANA CAVENDISH 13.5KG,1,BOX
BANANA CAVENDISH 15KG,1,BOX
BANANA CAVENDISH 3KG,1,BOX
BANANA CAVENDISH 5KG,1,BOX
BANANA CAVENDISH 8KG,1,BOX
BANANA LADY FINGER 10KG,1,BOX
BANANA LADY FINGER 12KG,1,BOX
BANANA LADY FINGER 13KG,1,BOX
BANANA LADY FINGER 3KG,1,BOX
BANANA LADY FINGER 5KG,1,BOX
CHICKEN BREAST FILLET SKINLESS (IW) 200-220G,1,BOX
CHICKEN BREAST FILLET SKINLESS (IW) 200-220G,1,BOX
CHICKEN BREAST FILLET SKINLESS (IW) 200-220G,1,BOX
CHICKEN BREAST FILLET SKINLESS (IW) 200-220G,1,BOX
CHICKEN BREAST FILLET SKINLESS (IW) 200-220G,1,BOX
CHICKEN BREAST FILLET SKINLESS (IW) 200-220G,1,BOX
CHICKEN BREAST FILLET SKINLESS (IW) 200-220G,1,BOX
CHICKEN BREAST FILLET SKINLESS (IW) 200-220G,1,BOX
CHICKEN BREAST FILLET SKINLESS (IW) 200-220G,1,BOX
CHICKEN BREAST FILLET SKINLESS (IW) 200-220G,1,BOX
CHICKEN BREAST FILLET SKINLESS (2/5KG),1,BOX
CHICKEN BREAST FILLET SKINLESS (4/2.5KG),1,BOX
CHICKEN BREAST FILLET SKINLESS (6/2KG),1,BOX
CHICKEN BREAST FILLET SKINLESS (IW),1,BOX
CHICKEN BREAST FILLET SKINLESS (RANDOM),1,BOX
CHICKEN BREAST FILLET SKINLESS (RANDOM) HALAL,1,BOX
CHICKEN BREAST FILLET SKINLESS (RANDOM) THAWED,1,BOX
CHICKEN BREAST FILLET SKINLESS HALAL (2/5KG),1,BOX
CHICKEN BREAST FILLET SKINLESS HALAL (4/2.5KG),1,BOX
CHICKEN BREAST FILLET SKINLESS HALAL (6/2KG),1,BOX
CHICKEN BREAST FILLET SKINLESS HALAL (IW),1,BOX
CHICKEN BREAST FILLET SKINLESS THAWED (2/5KG),1,BOX
CHICKEN BREAST FILLET SKINLESS THAWED (4/2.5KG),1,BOX
CHICKEN BREAST FILLET SKINLESS THAWED (6/2KG),1,BOX
CHICKEN BREAST FILLET SKINLESS THAWED (IW),1,BOX
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
PORK LOIN BONELESS CC, 2/13-15# AVG, FRESH,1,LB
