Commodity Name,Qty,UOM
BAZOOKA JUICY DROP BLASTS 27/08/25 (H),72,BOX
BELGIUM CHOCOLATE THINS MINT 28/3/25,16,BOX
CADBURY BOOST 4PK MULTIPACK PM £1.35 03/11/24,31,BOX
CADBURY BRUNCH BAR CHOC CHIP 5PK 17/05/24,160,BOX
CADBURY BRUNCH BAR RAISIN 5PK 12/4/24,140,BOX
CADBURY BRUNCH BAR PEANUT 5PK 16/5/24,60,BOX
CADBURY CRUNCHIE BARS 4PK MULTIPACK 20/7/24,31,BOX
CADBURY DAIRY MILK CARAMEL BAR PM £1.25 10/10/24,75,BOX
CADBURY DAIRY MILK CHOCOLAT 4PK MULTIPACK 19/16/24,54,BOX
CADBURY DAIRY MILK BLOCK (C) 01/12/24,50,BOX
CADBURY DAIRY MILK BAR PM £1.25 22/10/24,25,BOX
CADBURY DAIRY MILK CHOP HAZELN BAR £1.25 12/10/24,25,BOX
CADBURY DAIRY MILK FRUIT & N BAR PM £1.25 25/07/24,25,BOX
CADBURY DAIRY MILK OREO BAR PM £1.25 07/07/24,20,BOX
CADBURY FLAKE CHOCOLATE 4PK MULTIPACK 27/11/24,76,BOX
CADBURY TWIRL 5PACK PM £1.35 11/9/24,114,BOX
CHUPA CHUPS MINI LOLLIES 08/26,8,BOX
HARIBO HAPPY COLA PM £1.25 01/25,25,BOX
HARIBO MILKSHAKES PM £1.25 02/25,25,BOX
JAKEMANS LOZENGES MENTHOL & EUCALYPTUS 10/25,43,BOX
KINDER BUENO BANDED 3PK 17/4/24,552,BOX
KINDER BUENO WHITE BANDED 3PK 19/5/24,276,BOX
KINDER SURPRISE 3PACK 09/8/24,10,BOX
M&M CHOCOLATE TREAT BAG 25/08/24,60,BOX
M&M CRISPY TREAT BAG 13/10/24,10,BOX
M&M PEANUT TREAT BAG 21/07/24,100,BOX
M&M'S DOUBLE CHOCOLATE COOKIES 29/05/24,100,BOX
MALTESERS TREAT BAG 01/09/24,30,BOX
MAOAM MADMIX PM £1.25 12/24,68,BOX
MAOAM PINBALLS BAG £1.25 01/25,160,BOX
MAOAM STRIPES PM £1.25 12/24,68,BOX
MENTOS FRUIT 3PACK 07/26,5,BOX
MENTOS MINT 3PACK 07/26,24,BOX
MILLIONS BUBBLEGUM 12/25,65,BOX
NESTLE KIT KAT CHUNKY 4PACK 10/24,90,BOX
NESTLE KIT KAT 4 FINGER 3PACK 30/07/24,40,BOX
RICE KRISPIE SQUARE CHOCOLATE 19/08/24,80,BOX
RICE KRISPIE SQUARE MARSHMALLOW 02/08/24,40,BOX
RING POP 16/05/26 (H),108,BOX
RITTER SPORT WHOLE HAZELNUTS 20/9/24,850,BOX
RITTER SPORT CORNFLAKES 08/9/24,550,BOX
RITTER SPORT DARK WHOLE HAZELNUTS 28/9/24,550,BOX
RITTER SPORT COCOA 74% D 18/10/24,450,BOX
RITTER SPORT CHOPPED HAZELNUT (D) 07/06/24,350,BOX
RITTER SPORT ALPINE MILK 24/09/24,250,BOX
RITTER SPORT BUTTER BISCUIT 14/6/24,250,BOX
